Year	Quarter	Month	DayofMonth	DayOfWeek	FlightDate	Marketing_Airline_Network	Operated_or_Branded_Code_Share_Partners	DOT_ID_Marketing_Airline	IATA_Code_Marketing_Airline	Flight_Number_Marketing_Airline	Originally_Scheduled_Code_Share_Airline	DOT_ID_Originally_Scheduled_Code_Share_Airline	IATA_Code_Originally_Scheduled_Code_Share_Airline	Flight_Num_Originally_Scheduled_Code_Share_Airline	Operating_Airline 	DOT_ID_Operating_Airline	IATA_Code_Operating_Airline	Tail_Number	Flight_Number_Operating_Airline	OriginAirportID	OriginAirportSeqID	OriginCityMarketID	Origin	OriginCityName	OriginState	OriginStateFips	OriginStateName	OriginWac	DestAirportID	DestAirportSeqID	DestCityMarketID	Dest	DestCityName	DestState	DestStateFips	DestStateName	DestWac	CRSDepTime	DepTime	DepDelay	DepDelayMinutes	DepDel15	DepartureDelayGroups	DepTimeBlk	TaxiOut	WheelsOff	WheelsOn	TaxiIn	CRSArrTime	ArrTime	ArrDelay	ArrDelayMinutes	ArrDel15	ArrivalDelayGroups	ArrTimeBlk	Cancelled	CancellationCode	Diverted	CRSElapsedTime	ActualElapsedTime	AirTime	Flights	Distance	DistanceGroup	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay	FirstDepTime	TotalAddGTime	LongestAddGTime	DivAirportLandings
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1619					DL	19790	DL	N365NW	1619	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	63	11278	1127805	30852	DCA	Washington, DC	VA	51	Virginia	38	1830	1827	-3	0	0	-1	1800-1859	13	1840	2135	3	2201	2138	-23	0	0	-2	2200-2259	0		0	151	131	115	1	931	4									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1620					DL	19790	DL	N685DA	1620	13204	1320402	31454	MCO	Orlando, FL	FL	12	Florida	33	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1000	1024	24	24	1	1	1000-1059	19	1043	1141	3	1131	1144	13	13	0	0	1100-1159	0		0	91	80	58	1	404	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1621					DL	19790	DL	N3731T	1621	14100	1410005	34100	PHL	Philadelphia, PA	PA	42	Pennsylvania	23	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1559	1605	6	6	0	0	1500-1559	9	1614	1810	8	1814	1818	4	4	0	0	1800-1859	0		0	135	133	116	1	666	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1622					DL	19790	DL	N172DN	1622	11193	1119302	33105	CVG	Cincinnati, OH	KY	21	Kentucky	52	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	830	823	-7	0	0	-1	0800-0859	15	838	948	6	1012	954	-18	0	0	-2	1000-1059	0		0	102	91	70	1	373	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1623					DL	19790	DL	N843DN	1623	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	21	1517	1522	5	5	0	0	1500-1559	12	1534	1706	6	1721	1712	-9	0	0	-1	1700-1759	0		0	124	110	92	1	746	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1623					DL	19790	DL	N843DN	1623	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	21	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1831	1833	2	2	0	0	1800-1859	12	1845	2048	20	2058	2108	10	10	0	0	2000-2059	0		0	147	155	123	1	746	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1624					DL	19790	DL	N887DN	1624	10529	1052906	30529	BDL	Hartford, CT	CT	9	Connecticut	11	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	63	601	559	-2	0	0	-1	0600-0659	17	616	752	5	819	757	-22	0	0	-2	0800-0859	0		0	198	178	156	1	1050	5									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1626					DL	19790	DL	N376DN	1626	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	13931	1393102	33667	ORF	Norfolk, VA	VA	51	Virginia	38	2235	2249	14	14	0	0	2200-2259	13	2302	8	4	9	12	3	3	0	0	0001-0559	0		0	94	83	66	1	516	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1627					DL	19790	DL	N385DZ	1627	12478	1247805	31703	JFK	New York, NY	NY	36	New York	22	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	33	1829	1829	0	0	0	0	1800-1859	21	1850	2137	8	2144	2145	1	1	0	0	2100-2159	0		0	195	196	167	1	1069	5									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1629					DL	19790	DL	N122DN	1629	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	13931	1393102	33667	ORF	Norfolk, VA	VA	51	Virginia	38	1840	1838	-2	0	0	-1	1800-1859	15	1853	1007	3	2012	1010					2000-2059	0		1	92			1	516	3									1
